Epoch,Loss_D,Loss_G,Score_D_Real,Score_D_Fake,PSNR,SSIM
1,-3.378781911881834,0.029195943969310672,1.8109652065122657,-2.813060004124195,24.224116959616747,0.36558101311326024
2,-2.4710494918102963,0.007851803664472455,1.4721935660456433,-2.1257235033960558,24.102690782358902,0.3832694263011217
3,-0.8427063167034584,0.005927741284480152,0.735719393537628,-1.1603242351736984,25.080608016195576,0.39072083760052917
4,-1.4372966265894835,0.005617350968887344,1.1291350074111333,-1.3052935426169026,25.17817607272413,0.39486476700752976
5,-1.8060174921931957,0.0037754037066450048,2.8584752001516525,0.3656658498086874,25.625128187696124,0.4058844782412052
6,-2.296038579296702,0.0038265128442767356,3.0212892197973935,0.01490737112042864,25.83603080532427,0.4204019598662853
7,-1.627988739411902,0.0033364655570375288,2.723293376630341,0.30420104799706954,25.92438937130371,0.43008068062365057
8,-2.0003864065494414,0.001559050711204576,4.507808462501697,1.9318930731030937,25.989323673876193,0.42575731586664917
9,-2.9403187086379607,0.003172404411706746,3.7960358517604544,0.21250004640169654,25.86670526657749,0.42882516093552114
10,-2.391575101327446,0.003985442328635406,2.5462880461269646,-0.6731153123140249,26.164761549335957,0.43049854923039677
11,-2.637664285021237,0.0059630510649530885,0.6862104108949113,-2.715855249049617,26.307593992398544,0.44052171636372806
12,-1.9931255412188318,0.006126488058184616,-0.12322626499482144,-2.8845896074991773,26.235251935105598,0.4446154983341694
13,-1.5801218313260104,0.00383316891399106,1.6248048349559177,-0.625884708489035,26.242607510082973,0.44233893025666476
14,-2.1242969384744015,0.004244180136331822,1.913223619897381,-1.0558305543700075,26.370449254501995,0.4494987029582262
15,-1.6045725366458048,0.005766443818734557,-0.1384829411371601,-2.622743052552382,26.342674987193515,0.4491929597780108
16,-2.2750746075069896,0.0026361012944955712,3.4534290356452515,0.4909206633993743,26.316377920451153,0.4473401030525565
17,-1.6672317172101034,0.007392970345557255,-1.7625146421904831,-4.120687080596613,26.24169378253425,0.4448804811015725
18,-1.6735631018716872,0.015281627511980313,-9.667198969994063,-12.075174042584676,26.312609359211933,0.44533663772046567
19,-1.187504174728366,0.01885124147344129,-13.957251829647378,-15.79026689444925,26.142034852813538,0.44130404878407714
20,-1.3730046389850916,0.022308387058146553,-17.24196611020733,-19.175767915901623,26.393232506511627,0.45080932170152666
21,-1.189486154252927,0.024674000987646452,-19.625602627146826,-21.48217614289549,26.221079810949583,0.43939896691590546
22,8.996619194365968,0.027533480058340984,-21.81195962982067,-24.449734814546208,26.438637656580575,0.45012064654380085
23,1.3835319034890499,0.018933648859558543,-16.01675688960367,-15.998400305455027,26.536923240456186,0.455208380818367
24,0.3844581114449359,0.01876143136358642,-15.85430743220931,-15.76002759092687,26.517406086547535,0.45509459093213084
25,0.237920745904669,0.01883317971833391,-15.977019913007837,-15.895297522922313,26.50292460595977,0.45417670655995607
26,0.07449730875445347,0.0192714605948461,-16.252247268466217,-16.336720835423243,26.44207596566162,0.4534628129005432
27,-0.865024705532243,0.02188060190379836,-17.679555119533166,-18.82594616797841,26.010766866651252,0.43762947257608176
28,-1.3705099965734766,0.023661683746813083,-18.60098866293027,-20.30634885966648,25.671550400636647,0.4023343714699149
29,-0.8723782162122651,0.021053962919457977,-16.57866907428639,-17.827121563747298,26.430908225563982,0.4538907788693905
30,-1.1457256112777416,0.018361323677982728,-13.67374561764143,-15.373129069952316,26.363428169615336,0.4498161908984184
31,-1.211577716517812,0.01918231252670158,-14.257393288539646,-16.040508978794517,26.144428812807583,0.44268789652734997
32,-1.167879435889688,0.018997617408676518,-14.044312775444967,-15.730603873308967,25.794238212357442,0.41172694221138956
33,-0.6745787539790312,0.01787464816932152,-13.695182496142197,-14.790511338864883,26.25216869940231,0.4448884193226695
34,-1.333767207892978,0.016514094588640987,-11.267187360404796,-13.13446993665065,25.649143089902154,0.39885957147926093
35,-1.3327437590964046,0.01575289577050926,-10.387585339141047,-12.269085623354002,25.572450977439964,0.3875847964733839
36,-1.3104477294840151,0.012968192375065541,-7.729870730665342,-9.651737436614525,26.05577268346938,0.42439988553524016
37,-0.7103547326637163,0.009474261586480627,-4.9699350327991905,-6.364412197045165,26.366102837478035,0.44686811335384846
38,-1.270268140486729,0.006959463653784345,-1.7145699721968686,-3.50025305594927,25.7402423441866,0.4202124029025435
39,-1.5996360798477693,0.006721504150768749,-1.2146089515083496,-3.4137877981162363,26.03295721707017,0.4291829090937972
40,-1.1388459325338847,0.006186561703752286,-1.3356918924653018,-3.070055032451688,26.355162353661484,0.450703263618052
